model,condition,kind,count,true_class_id,true_action,predicted_class_id,predicted_action
stgcn,clean,all_error,210,11,writing,29,typing on a keyboard
stgcn,clean,all_error,206,15,wear a shoe,16,take off a shoe
stgcn,clean,all_error,125,10,reading,11,writing
stgcn,clean,all_error,115,30,pointing to something with finger,31,taking a selfie
stgcn,clean,all_error,101,10,reading,28,playing with phone/tablet
stgcn,clean,all_error,95,11,writing,28,playing with phone/tablet
stgcn,clean,all_error,91,29,typing on a keyboard,11,writing
stgcn,clean,all_error,63,28,playing with phone/tablet,29,typing on a keyboard
stgcn,clean,all_error,56,9,clapping,33,rub two hands together
stgcn,clean,all_error,49,16,take off a shoe,15,wear a shoe
stgcn,joint_missing_mild,new_error,319,41,staggering,13,wear jacket
stgcn,joint_missing_mild,new_error,293,58,walking towards each other,13,wear jacket
stgcn,joint_missing_mild,new_error,194,58,walking towards each other,59,walking apart from each other
stgcn,joint_missing_mild,new_error,137,28,playing with phone/tablet,29,typing on a keyboard
stgcn,joint_missing_mild,new_error,134,10,reading,29,typing on a keyboard
stgcn,joint_missing_mild,new_error,73,42,falling,5,pickup
stgcn,joint_missing_mild,new_error,69,57,handshaking,9,clapping
stgcn,joint_missing_mild,new_error,68,50,kicking other person,14,take off jacket
stgcn,joint_missing_mild,new_error,68,2,brushing teeth,0,drink water
stgcn,joint_missing_mild,new_error,59,27,make a phone call/answer phone,0,drink water
stgcn,joint_missing_mild,all_error,349,11,writing,29,typing on a keyboard
stgcn,joint_missing_mild,all_error,330,28,playing with phone/tablet,29,typing on a keyboard
stgcn,joint_missing_mild,all_error,320,41,staggering,13,wear jacket
stgcn,joint_missing_mild,all_error,293,58,walking towards each other,13,wear jacket
stgcn,joint_missing_mild,all_error,218,10,reading,29,typing on a keyboard
stgcn,joint_missing_mild,all_error,197,58,walking towards each other,59,walking apart from each other
stgcn,joint_missing_mild,all_error,149,30,pointing to something with finger,31,taking a selfie
stgcn,joint_missing_mild,all_error,107,23,kicking something,13,wear jacket
stgcn,joint_missing_mild,all_error,87,15,wear a shoe,16,take off a shoe
stgcn,joint_missing_mild,all_error,73,42,falling,5,pickup
stgcn,limb_occlusion_mild,new_error,104,29,typing on a keyboard,11,writing
stgcn,limb_occlusion_mild,new_error,94,37,salute,35,shake head
stgcn,limb_occlusion_mild,new_error,92,22,hand waving,35,shake head
stgcn,limb_occlusion_mild,new_error,71,53,point finger at the other person,52,pat on back of other person
stgcn,limb_occlusion_mild,new_error,66,55,giving something to other person,56,touch other person's pocket
stgcn,limb_occlusion_mild,new_error,51,15,wear a shoe,16,take off a shoe
stgcn,limb_occlusion_mild,new_error,47,57,handshaking,52,pat on back of other person
stgcn,limb_occlusion_mild,new_error,41,20,take off a hat/cap,35,shake head
stgcn,limb_occlusion_mild,new_error,38,36,wipe face,35,shake head
stgcn,limb_occlusion_mild,new_error,28,35,shake head,29,typing on a keyboard
stgcn,limb_occlusion_mild,all_error,219,15,wear a shoe,16,take off a shoe
stgcn,limb_occlusion_mild,all_error,199,29,typing on a keyboard,11,writing
stgcn,limb_occlusion_mild,all_error,170,11,writing,29,typing on a keyboard
stgcn,limb_occlusion_mild,all_error,168,10,reading,11,writing
stgcn,limb_occlusion_mild,all_error,124,11,writing,28,playing with phone/tablet
stgcn,limb_occlusion_mild,all_error,101,22,hand waving,35,shake head
stgcn,limb_occlusion_mild,all_error,91,53,point finger at the other person,52,pat on back of other person
stgcn,limb_occlusion_mild,all_error,86,28,playing with phone/tablet,11,writing
stgcn,limb_occlusion_mild,all_error,73,37,salute,35,shake head
stgcn,limb_occlusion_mild,all_error,71,30,pointing to something with finger,31,taking a selfie
stgcn,coord_noise_mild,new_error,193,28,playing with phone/tablet,29,typing on a keyboard
stgcn,coord_noise_mild,new_error,161,38,put the palms together,9,clapping
stgcn,coord_noise_mild,new_error,159,12,tear up paper,29,typing on a keyboard
stgcn,coord_noise_mild,new_error,157,3,brushing hair,48,use a fan (with hand or paper)/feeling warm
stgcn,coord_noise_mild,new_error,156,28,playing with phone/tablet,11,writing
stgcn,coord_noise_mild,new_error,151,10,reading,29,typing on a keyboard
stgcn,coord_noise_mild,new_error,116,35,shake head,29,typing on a keyboard
stgcn,coord_noise_mild,new_error,116,33,rub two hands together,9,clapping
stgcn,coord_noise_mild,new_error,110,35,shake head,53,point finger at the other person
stgcn,coord_noise_mild,new_error,108,36,wipe face,48,use a fan (with hand or paper)/feeling warm
stgcn,coord_noise_mild,all_error,328,11,writing,29,typing on a keyboard
stgcn,coord_noise_mild,all_error,302,28,playing with phone/tablet,29,typing on a keyboard
stgcn,coord_noise_mild,all_error,301,10,reading,29,typing on a keyboard
stgcn,coord_noise_mild,all_error,232,28,playing with phone/tablet,11,writing
stgcn,coord_noise_mild,all_error,212,10,reading,11,writing
stgcn,coord_noise_mild,all_error,177,12,tear up paper,29,typing on a keyboard
stgcn,coord_noise_mild,all_error,168,38,put the palms together,9,clapping
stgcn,coord_noise_mild,all_error,168,3,brushing hair,48,use a fan (with hand or paper)/feeling warm
stgcn,coord_noise_mild,all_error,114,43,touch head (headache),48,use a fan (with hand or paper)/feeling warm
stgcn,coord_noise_mild,all_error,111,35,shake head,53,point finger at the other person
stgcn,frame_missing_mild,new_error,120,53,point finger at the other person,52,pat on back of other person
stgcn,frame_missing_mild,new_error,94,15,wear a shoe,16,take off a shoe
stgcn,frame_missing_mild,new_error,62,56,touch other person's pocket,52,pat on back of other person
stgcn,frame_missing_mild,new_error,61,18,take off glasses,20,take off a hat/cap
stgcn,frame_missing_mild,new_error,36,11,writing,10,reading
stgcn,frame_missing_mild,new_error,35,31,taking a selfie,30,pointing to something with finger
stgcn,frame_missing_mild,new_error,34,41,staggering,23,kicking something
stgcn,frame_missing_mild,new_error,24,11,writing,29,typing on a keyboard
stgcn,frame_missing_mild,new_error,23,28,playing with phone/tablet,29,typing on a keyboard
stgcn,frame_missing_mild,new_error,19,27,make a phone call/answer phone,28,playing with phone/tablet
stgcn,frame_missing_mild,all_error,236,15,wear a shoe,16,take off a shoe
stgcn,frame_missing_mild,all_error,222,11,writing,29,typing on a keyboard
stgcn,frame_missing_mild,all_error,152,53,point finger at the other person,52,pat on back of other person
stgcn,frame_missing_mild,all_error,87,11,writing,28,playing with phone/tablet
stgcn,frame_missing_mild,all_error,87,10,reading,11,writing
stgcn,frame_missing_mild,all_error,73,28,playing with phone/tablet,29,typing on a keyboard
stgcn,frame_missing_mild,all_error,68,30,pointing to something with finger,31,taking a selfie
stgcn,frame_missing_mild,all_error,42,10,reading,28,playing with phone/tablet
stgcn,frame_missing_mild,all_error,39,11,writing,10,reading
stgcn,frame_missing_mild,all_error,36,16,take off a shoe,15,wear a shoe
stgcn,mixed_mild,new_error,171,35,shake head,29,typing on a keyboard
stgcn,mixed_mild,new_error,167,58,walking towards each other,13,wear jacket
stgcn,mixed_mild,new_error,167,24,reach into pocket,29,typing on a keyboard
stgcn,mixed_mild,new_error,130,28,playing with phone/tablet,29,typing on a keyboard
stgcn,mixed_mild,new_error,127,41,staggering,13,wear jacket
stgcn,mixed_mild,new_error,115,10,reading,29,typing on a keyboard
stgcn,mixed_mild,new_error,104,28,playing with phone/tablet,11,writing
stgcn,mixed_mild,new_error,72,3,brushing hair,48,use a fan (with hand or paper)/feeling warm
stgcn,mixed_mild,new_error,70,53,point finger at the other person,52,pat on back of other person
stgcn,mixed_mild,new_error,64,38,put the palms together,9,clapping
stgcn,mixed_mild,all_error,323,11,writing,29,typing on a keyboard
stgcn,mixed_mild,all_error,285,28,playing with phone/tablet,29,typing on a keyboard
stgcn,mixed_mild,all_error,212,15,wear a shoe,16,take off a shoe
stgcn,mixed_mild,all_error,196,10,reading,29,typing on a keyboard
stgcn,mixed_mild,all_error,167,58,walking towards each other,13,wear jacket
stgcn,mixed_mild,all_error,150,28,playing with phone/tablet,11,writing
stgcn,mixed_mild,all_error,146,24,reach into pocket,29,typing on a keyboard
stgcn,mixed_mild,all_error,132,35,shake head,29,typing on a keyboard
stgcn,mixed_mild,all_error,127,41,staggering,13,wear jacket
stgcn,mixed_mild,all_error,127,10,reading,11,writing
stgcn,joint_missing_moderate,new_error,594,58,walking towards each other,13,wear jacket
stgcn,joint_missing_moderate,new_error,406,42,falling,31,taking a selfie
stgcn,joint_missing_moderate,new_error,358,59,walking apart from each other,13,wear jacket
stgcn,joint_missing_moderate,new_error,342,24,reach into pocket,29,typing on a keyboard
stgcn,joint_missing_moderate,new_error,336,21,cheer up,31,taking a selfie
stgcn,joint_missing_moderate,new_error,314,7,sitting down,31,taking a selfie
stgcn,joint_missing_moderate,new_error,282,45,touch back (backache),29,typing on a keyboard
stgcn,joint_missing_moderate,new_error,187,35,shake head,28,playing with phone/tablet
stgcn,joint_missing_moderate,new_error,171,7,sitting down,16,take off a shoe
stgcn,joint_missing_moderate,new_error,166,53,point finger at the other person,9,clapping
stgcn,joint_missing_moderate,all_error,436,58,walking towards each other,13,wear jacket
stgcn,joint_missing_moderate,all_error,412,42,falling,31,taking a selfie
stgcn,joint_missing_moderate,all_error,389,24,reach into pocket,29,typing on a keyboard
stgcn,joint_missing_moderate,all_error,371,59,walking apart from each other,13,wear jacket
stgcn,joint_missing_moderate,all_error,355,21,cheer up,31,taking a selfie
stgcn,joint_missing_moderate,all_error,235,28,playing with phone/tablet,29,typing on a keyboard
stgcn,joint_missing_moderate,all_error,223,10,reading,29,typing on a keyboard
